no of sites,inc mat,freq breakdown,inacc cost,satisfaction,delay rate
78,86,43,66,87,87.705
85,91,68,98,55,96.655
52,87,96,43,54,80.915
97,44,93,42,84,87.688
74,59,69,60,57,77.685
70,42,35,38,98,68.972
71,64,98,50,94,91.89
60,86,81,43,56,79.437
82,90,64,40,63,82.575
68,46,36,51,73,66.74199999999999
70,88,56,62,50,79.392
70,99,41,31,75,77.008
51,38,100,57,38,69.175
77,43,60,39,92,75.78299999999999
94,38,88,68,89,91.821
93,93,45,63,80,91.08699999999999
38,83,94,76,94,93.882
40,35,96,66,31,65.277
99,56,98,90,39,92.959
70,40,56,48,36,60.848
91,60,63,70,62,84.234
56,97,41,51,36,68.437
30,64,57,55,71,67.544
41,58,66,74,32,66.0
99,37,78,89,51,86.14
94,98,66,64,70,95.46600000000001
98,91,60,52,90,95.246
65,75,40,78,87,84.059
59,68,33,32,61,61.642999999999994
80,64,43,68,61,76.937
58,40,69,77,37,68.408
38,47,63,96,80,78.964
72,39,53,44,58,64.774
93,73,90,59,83,96.94999999999999
58,57,93,95,44,84.501
90,99,48,61,36,81.291
32,58,42,54,98,69.276
86,56,94,53,38,79.601
85,55,35,62,89,79.40100000000001
63,88,89,64,96,97.506
87,69,83,79,91,99.634
33,54,72,87,48,71.631
71,77,87,49,37,78.16999999999999
85,77,95,89,78,103.275
75,56,100,61,45,82.06200000000001
81,69,68,70,100,94.53999999999999
93,76,82,32,54,82.064
75,72,54,66,58,79.142
92,65,78,76,41,85.669
66,80,49,100,43,82.28299999999999
36,60,58,49,92,71.951
68,83,68,74,41,81.327
37,30,65,32,81,59.754999999999995
44,74,91,81,31,78.186
90,100,48,82,97,101.583
54,94,50,96,34,79.862
54,81,81,94,89,97.243
34,82,77,40,84,77.324
94,40,64,44,64,74.496
32,45,99,81,59,77.018
44,40,33,63,88,65.329
38,49,52,65,42,59.925000000000004
94,71,96,57,76,95.967
44,52,97,79,32,74.041
46,86,50,66,83,80.689
54,92,70,76,49,83.06899999999999
89,46,37,68,34,66.644
77,79,35,50,39,68.155
62,64,44,73,43,69.63
40,78,93,93,44,84.783
56,92,40,38,34,63.324
62,61,88,56,58,79.178
57,90,81,54,84,89.22
31,64,36,33,99,64.176
67,63,46,69,73,77.46199999999999
34,33,79,37,48,56.306999999999995
67,87,75,75,88,95.52699999999999
62,68,39,42,91,73.613
93,69,54,51,93,87.696
49,72,60,73,54,75.03500000000001
53,34,90,82,82,83.098
51,49,98,32,76,74.606
46,84,84,80,60,86.264
36,93,64,73,84,85.339
75,42,79,75,99,90.15399999999998
81,47,72,95,69,88.628
55,91,58,78,96,92.14
47,71,31,75,69,71.392
33,93,45,51,90,76.101
97,94,37,66,44,82.256
92,73,32,59,56,75.941
96,89,44,53,80,88.16300000000001
67,74,72,95,36,83.743
35,30,92,93,90,82.887
73,84,55,80,45,82.047
41,57,63,69,69,72.874
44,42,60,91,72,75.289
88,37,42,87,72,79.353
48,76,42,49,96,75.835
96,87,32,92,40,84.42399999999999
55,80,76,53,30,71.603
66,45,38,62,86,72.35999999999999
84,82,72,68,34,82.758
46,74,52,52,92,77.05199999999999
53,36,76,80,69,76.499
62,34,51,49,62,62.840999999999994
67,86,70,52,90,88.96399999999998
41,95,96,95,62,94.801
50,46,97,83,78,86.271
58,60,78,33,91,78.02199999999999
57,53,75,45,65,71.886
88,45,83,98,80,95.94199999999998
80,63,86,47,65,83.062
61,81,64,83,54,83.541
43,59,71,42,55,65.80699999999999
58,38,44,36,96,66.312
37,75,88,39,58,72.413
38,47,81,48,90,74.142
64,92,78,39,34,74.775
82,80,39,96,84,92.788
34,89,42,36,86,70.00999999999999
76,50,97,46,54,78.668
37,95,51,52,44,67.994
75,71,56,68,73,83.547
86,66,88,52,32,78.864
79,67,54,45,35,68.152
61,92,59,97,38,84.487
71,38,37,89,75,75.484
68,84,61,34,97,83.863
52,58,37,81,35,64.02199999999999
46,69,95,66,60,81.886
81,65,38,99,84,89.371
73,97,90,49,78,94.311
93,71,91,92,39,93.945
80,88,74,97,64,98.13900000000001
99,53,48,52,51,73.733
58,64,36,97,52,74.747
87,65,33,84,33,73.463
38,64,95,45,33,67.012
90,34,85,74,75,87.173
44,71,45,64,97,78.269
78,41,52,95,66,80.823
39,52,77,99,37,74.036
76,38,84,56,72,79.408
95,78,99,32,85,94.779
38,99,39,55,54,69.463
65,88,70,72,76,90.398
93,67,80,98,69,99.09299999999999
63,62,47,90,60,78.412
41,43,47,38,60,55.816
66,67,52,89,36,75.45499999999998
88,40,71,33,59,70.854
83,83,57,73,43,82.52
66,57,43,77,48,70.843
92,51,71,63,39,76.89599999999999
100,64,89,65,85,98.152
76,94,76,73,48,89.37100000000001
54,53,31,37,45,53.58
98,31,48,72,76,79.108
61,84,51,42,87,79.223
42,70,65,56,95,79.987
87,95,64,67,45,87.156
36,83,42,68,43,66.271
71,36,43,50,38,57.918
83,38,65,58,58,73.52199999999999
91,95,72,94,68,102.27199999999999
84,53,30,35,81,68.92999999999999
31,70,46,98,56,73.34
34,73,52,31,32,54.101
72,50,83,48,48,73.3
40,35,50,95,41,63.55
50,40,93,30,93,74.627
71,96,87,50,89,95.78899999999999
50,82,40,70,67,75.29299999999999
84,80,46,44,50,74.01400000000001
78,93,40,82,69,88.15899999999999
84,99,32,90,91,96.457
84,97,63,93,61,96.912
63,54,93,73,56,82.573
45,89,43,97,98,90.679
64,34,84,80,41,73.765
75,39,72,43,46,66.95299999999999
91,79,71,86,58,93.72999999999999
77,41,86,88,46,82.276
70,70,64,66,48,77.434
59,89,80,39,52,77.731
91,98,37,98,77,97.64099999999999
40,54,77,54,50,67.016
71,83,36,72,34,72.044
53,88,44,55,60,73.099
56,39,65,31,81,66.306
41,32,54,39,31,47.977999999999994
90,66,56,100,55,89.323
97,43,44,76,79,82.525
30,33,95,98,30,69.65599999999999
69,33,48,80,81,75.747
78,90,62,60,50,82.794
82,68,99,71,78,96.955
34,67,62,89,91,83.626
54,56,42,84,82,77.482
85,33,43,94,45,72.981
97,74,41,75,83,90.094
53,44,92,37,68,71.661
55,59,30,86,38,65.234
46,57,31,55,85,66.794
52,64,86,92,96,95.05999999999999
88,68,96,31,44,79.625
78,61,82,39,70,80.39500000000001
62,85,86,95,61,94.75799999999998
87,39,89,45,61,78.166
84,81,73,86,68,95.46199999999999
70,67,30,85,71,78.658
69,37,66,34,71,67.487
42,71,53,49,77,71.192
78,50,49,70,35,68.61699999999999
99,90,94,39,91,100.626
87,41,85,99,66,92.025
56,64,35,31,72,62.881
70,36,95,72,42,76.69
32,55,89,31,79,69.768
77,100,90,79,70,101.34100000000001
84,68,36,76,33,72.25699999999999
87,51,70,81,57,84.226
73,47,47,89,84,82.809
44,79,39,90,61,76.255
70,54,32,48,84,70.168
51,78,85,89,68,90.401
84,60,72,84,38,82.25800000000001
56,58,54,44,69,68.477
38,65,96,95,36,80.38499999999999
44,61,45,81,47,67.71000000000001
58,52,67,76,61,76.48499999999999
69,73,92,64,40,82.31
39,61,35,97,44,67.213
99,43,84,92,64,92.982
53,94,87,59,77,90.192
83,82,95,64,66,94.996
89,31,71,71,92,86.219
93,60,55,49,33,70.55799999999999
35,40,74,98,97,83.86500000000001
84,90,56,36,30,72.05
89,44,97,77,53,87.63799999999999
86,94,34,65,32,75.679
64,72,46,78,75,81.60900000000001
85,82,46,50,35,72.527
38,64,50,55,96,73.897
44,59,31,70,73,67.50299999999999
84,43,60,91,76,86.19300000000001
100,79,82,62,79,97.905
90,79,43,99,40,85.40499999999999
55,100,66,46,100,89.49199999999999
35,72,82,65,56,75.56099999999999
32,62,69,30,49,59.003
73,32,44,69,62,68.167
55,37,35,76,46,60.616
72,80,35,79,71,82.076
83,35,44,79,82,78.649
79,43,78,31,72,73.815
80,71,31,80,71,81.083
63,78,91,88,60,92.566
47,62,70,41,80,73.145
46,92,34,84,70,79.43799999999999
84,54,60,96,51,83.967
83,63,57,52,50,74.252
95,40,34,87,66,78.357
35,67,97,56,43,72.62899999999999
70,44,51,54,71,70.637
72,45,78,82,88,88.922
49,39,75,90,40,71.34400000000001
62,56,79,92,33,78.38499999999999
31,79,89,42,43,69.235
96,61,76,36,88,86.968
30,54,92,94,98,89.73599999999999
87,33,72,32,84,75.02999999999999
68,64,83,91,95,97.71199999999999
71,41,49,48,31,58.400999999999996
51,78,72,59,87,84.594
89,72,61,65,84,90.365
69,100,74,39,72,86.271
30,68,70,96,57,78.225
99,34,42,76,46,72.24
55,44,88,30,94,75.838
30,95,45,83,50,73.839
63,74,36,46,76,71.884
73,53,83,38,37,69.149
58,34,47,38,91,65.329
45,59,31,49,68,61.417
61,76,86,33,76,80.92899999999999
57,91,97,80,37,88.17099999999999
93,74,93,32,64,86.71000000000001
71,43,85,40,78,77.244
77,54,82,45,98,86.763
92,72,100,40,39,83.507
51,51,39,76,72,70.41
46,97,38,95,73,85.042
37,99,63,97,46,83.323
82,95,89,98,64,104.23400000000001
35,84,97,100,75,95.309
48,96,100,87,68,97.24099999999999
93,80,54,60,35,78.357
60,38,67,98,46,75.224
57,87,60,92,32,79.858
57,100,36,71,66,80.401
85,76,38,77,36,75.917
65,57,47,39,98,74.59299999999999
33,69,94,53,67,77.05199999999999
47,71,40,39,62,63.125
48,74,35,31,66,61.915000000000006
65,31,56,70,63,69.40299999999999
87,96,92,98,86,111.80999999999997
88,89,89,65,34,88.85300000000001
76,68,93,40,97,91.16099999999999
55,34,78,32,79,67.769
50,46,66,92,73,79.66899999999998
60,61,72,76,43,75.975
93,43,45,86,31,72.47099999999999
65,70,94,81,61,90.374
44,94,100,84,35,86.971
96,72,60,97,44,89.791
68,62,73,43,79,79.2
60,72,57,79,41,75.238
42,51,60,97,61,75.764
93,88,30,97,86,95.939
42,59,54,45,79,68.026
62,94,99,50,62,89.43599999999999
47,74,96,82,88,94.34
90,90,75,90,92,106.45000000000002
75,45,94,66,86,89.174
86,58,86,31,95,86.756
81,42,86,81,87,91.832
34,94,57,76,42,73.83000000000001
54,92,53,54,40,71.37
95,48,62,98,50,85.894
56,51,85,30,66,70.196
85,77,99,97,40,96.885
37,38,43,66,53,57.741
43,43,38,83,71,67.734
76,91,95,91,45,96.91400000000002
35,39,40,36,78,55.60399999999999
73,65,94,37,49,77.458
93,68,100,75,32,89.563
61,30,50,86,32,63.019999999999996
70,44,65,86,81,84.279
80,41,99,34,53,74.767
76,65,75,92,87,96.22299999999998
84,62,45,49,97,82.108
55,85,48,79,81,84.804
57,96,78,88,66,93.804
86,77,64,100,66,95.68599999999999
98,48,51,34,62,71.324
95,45,97,38,94,89.902
97,54,100,34,97,93.077
62,85,75,37,72,80.675
58,82,37,62,34,66.46799999999999
64,90,50,87,48,82.54899999999999
45,43,30,80,58,62.352
51,67,83,58,61,77.981
84,36,97,96,65,92.033
66,36,79,32,97,75.573
60,55,37,55,48,62.092999999999996
45,70,81,81,62,82.607
85,94,55,94,46,91.038
67,58,79,92,74,90.12799999999999
70,78,53,100,86,94.274
56,82,94,49,97,92.168
75,83,32,50,100,82.86
40,88,77,68,96,89.984
55,31,95,36,86,73.872
62,71,95,33,57,77.49199999999999
45,55,71,79,30,68.181
56,73,39,71,55,71.608
63,34,41,30,39,50.391
83,38,85,99,62,89.345
100,53,62,56,33,73.95299999999999
45,61,71,36,63,67.28099999999999
65,46,59,93,61,78.894
41,67,84,81,48,78.209
38,73,44,52,82,70.47
37,49,82,80,88,81.91799999999999
70,98,100,100,59,104.00699999999999
36,45,59,50,43,56.772999999999996
89,95,42,84,74,93.508
32,73,79,30,41,62.167
41,79,47,66,42,66.994
32,87,32,62,65,67.771
67,67,51,87,90,88.19699999999999
46,99,64,93,32,81.343
100,78,67,82,49,91.511
83,74,61,42,38,72.542
56,58,65,48,61,70.173
55,53,34,34,64,58.48
31,84,79,91,94,92.417
58,60,58,73,50,72.81700000000001
57,37,67,55,74,70.665
38,40,47,77,38,58.445
35,59,47,66,69,67.277
46,69,61,55,39,65.77199999999999
37,61,52,50,53,61.660999999999994
42,72,33,44,56,60.196
92,77,54,77,55,86.41399999999999
50,41,55,76,66,70.162
66,53,53,31,95,72.644
87,58,38,33,75,70.87199999999999
44,34,86,90,36,70.618
60,79,74,93,98,98.46100000000001
73,72,91,63,64,88.42699999999999
61,85,78,92,47,88.40499999999999
43,93,94,83,57,90.168
41,74,31,72,72,70.678
83,79,39,73,91,88.91199999999999
81,64,94,54,37,80.34100000000001
77,45,88,81,57,84.73400000000001
34,67,54,99,96,85.329
86,44,92,46,90,87.22399999999999
34,43,78,65,32,61.387
66,49,75,42,52,69.17399999999999
99,34,46,82,47,74.919
83,69,72,81,49,86.178
51,38,89,67,60,74.31099999999999
50,70,44,94,46,74.02799999999999
57,75,78,36,31,67.46900000000001
90,65,30,63,59,74.724
48,89,74,40,89,82.91300000000001
69,32,99,84,68,85.734
54,39,54,99,68,76.47699999999999
76,70,40,48,85,77.72099999999999
59,35,64,36,77,66.047
77,90,72,93,54,93.991
37,51,88,46,87,75.363
58,45,89,55,97,83.862
70,79,72,68,79,89.663
82,96,64,88,43,90.803
53,62,84,71,87,87.018
77,94,70,46,52,82.568
39,64,79,80,88,85.33
69,75,63,53,90,85.299
75,61,61,34,93,78.965
83,60,44,69,38,71.539
58,40,71,69,62,73.077
47,58,59,34,92,70.72399999999999
91,33,69,75,31,72.72999999999999
94,80,54,33,63,78.898
67,61,31,51,66,67.225
44,50,43,65,77,68.0
70,32,79,46,65,71.127
73,86,77,49,91,91.64
44,35,47,55,74,62.150999999999996
76,41,100,79,36,80.81299999999999
40,49,44,57,99,70.478
91,53,73,36,76,80.134
93,49,66,48,73,80.11500000000001
33,98,86,39,99,86.61399999999999
38,39,80,67,85,75.338
56,77,66,92,91,93.095
41,31,90,55,86,73.881
32,52,34,35,60,51.93299999999999
52,49,41,60,49,61.12899999999999
30,66,42,92,35,64.54299999999999
92,72,62,82,64,90.566
49,41,49,53,44,57.477
94,60,38,40,98,80.38999999999999
35,98,82,80,47,83.345
86,93,31,41,35,69.606
32,38,31,44,95,58.547
33,93,91,98,38,86.006
55,82,75,30,92,81.448
50,78,99,74,54,86.5
44,53,62,94,75,79.925
46,97,53,65,72,81.167
64,100,31,99,42,81.799
36,92,41,49,56,66.791
57,38,34,72,58,63.068000000000005
42,60,93,91,95,92.88400000000001
59,98,63,98,96,100.896
92,75,63,92,75,96.667
74,60,60,88,78,87.682
95,64,57,31,93,82.832
78,77,87,58,73,90.87099999999998
52,54,37,86,90,77.73599999999999
65,85,76,59,54,82.581
33,33,72,48,94,68.3
68,74,69,36,81,79.941
79,81,64,77,32,81.049
30,39,56,59,68,61.437
71,74,34,38,74,70.898
55,97,55,62,40,75.264
86,43,60,58,51,72.533
67,72,99,80,84,97.95799999999998
67,59,62,48,93,80.187
57,62,65,100,72,86.722
51,69,34,70,46,65.75399999999999
79,40,68,93,97,91.834
40,95,87,74,86,93.13999999999999
52,98,89,35,74,84.847
100,88,87,71,44,94.93299999999999
86,86,100,61,81,100.864
45,32,68,48,72,64.594
95,56,88,36,81,86.719
65,71,53,55,56,73.071
88,41,99,82,67,91.797
88,59,40,100,47,81.267
97,59,41,91,39,79.542
98,30,100,97,88,100.56700000000001
40,94,49,75,70,79.947
35,53,60,70,65,68.977
79,32,53,45,92,73.333
38,93,32,57,100,78.047
77,39,85,63,87,85.514
99,47,63,92,35,81.729
44,95,50,78,85,85.807
31,98,42,44,98,76.364
39,80,63,53,51,69.704
64,83,44,86,56,81.094
71,74,85,33,37,73.062
91,34,46,94,94,87.414
50,80,50,57,37,66.73599999999999
84,42,97,84,91,96.95100000000001
76,61,59,96,55,84.475
71,44,70,39,58,68.68499999999999
92,68,89,64,83,96.459
64,66,98,72,33,81.085
63,70,75,51,80,82.619
56,68,45,33,96,72.663
76,87,90,87,85,103.546
60,94,53,62,69,82.35900000000001
59,85,56,94,79,90.879
39,35,77,69,43,64.068
74,62,89,58,55,82.321
75,64,83,52,97,90.419
92,96,48,90,95,102.54500000000002
89,99,58,46,100,95.524
70,89,31,70,44,74.00999999999999
90,35,78,37,83,78.678
100,44,53,88,92,91.792
64,60,98,92,88,97.956
69,77,94,40,62,83.332
88,90,42,45,82,84.529
34,39,70,66,67,67.27699999999999
99,86,60,32,60,82.05799999999999
39,98,38,70,34,67.96199999999999
30,59,33,78,62,63.852
80,51,82,88,74,91.326
95,33,58,73,68,79.59299999999999
53,99,40,88,93,90.911
91,50,72,96,43,85.65299999999999
46,56,37,67,60,64.80499999999999
49,66,99,81,52,84.54099999999998
62,31,90,77,87,84.554
78,93,46,96,81,95.965
72,30,64,82,40,70.086
70,59,70,93,33,79.1
59,89,100,54,67,89.93099999999998
66,73,53,90,59,83.041
100,41,48,30,43,63.741
32,53,32,55,39,51.404
77,94,56,72,65,88.655
30,91,53,31,72,67.569
45,91,62,58,50,74.566
68,96,91,69,89,100.656
77,50,30,96,94,84.512
45,68,73,85,33,74.03399999999999
100,88,81,96,93,111.54899999999999
45,58,90,34,59,69.71900000000001
56,95,73,94,53,90.371
62,45,56,60,93,77.013
89,82,46,92,31,82.72099999999999
62,54,47,65,96,78.963
83,71,90,97,42,93.231
77,58,88,85,49,86.918
82,61,63,49,39,71.56200000000001
49,72,65,59,44,70.403
61,66,49,45,52,66.497
68,91,33,96,33,78.12499999999999
77,47,44,96,64,79.846
91,35,100,97,40,88.33299999999998
90,34,46,57,94,78.181
96,61,42,32,70,73.28999999999999
84,78,32,59,64,77.185
78,78,39,34,82,75.776
100,64,94,77,90,103.51299999999999
67,100,65,65,31,79.86399999999999
90,37,48,34,62,65.972
39,68,34,61,68,65.809
50,88,30,88,56,75.99600000000001
81,94,100,84,35,95.925
35,45,45,32,31,45.801
74,53,48,32,64,66.00800000000001
91,32,74,42,67,74.507
76,92,54,59,81,88.19800000000001
52,40,76,79,79,79.44000000000001
69,53,75,67,88,85.77100000000002
85,68,39,41,70,73.791
93,86,99,50,59,94.25099999999999
39,79,90,57,54,77.75500000000001
36,35,93,57,99,78.05
31,83,43,53,94,74.155
32,94,85,73,42,79.44900000000001
39,56,79,39,70,69.005
81,100,45,36,58,77.94
74,69,45,89,91,89.646
58,69,42,65,92,79.455
35,70,45,55,58,64.105
43,89,47,91,56,79.423
67,36,49,90,62,74.014
98,41,75,56,98,89.638
89,42,32,64,93,77.931
32,72,76,44,100,79.048
66,77,54,84,93,91.133
45,61,56,82,93,82.149
55,50,90,99,95,94.80199999999999
58,34,40,91,45,65.23
75,65,67,38,98,83.602
72,39,56,97,75,82.55
39,45,100,64,64,76.05
84,32,34,98,72,77.886
71,44,80,31,62,70.161
49,62,62,50,67,70.679
100,62,94,82,31,89.785
87,41,94,94,41,86.881
69,41,41,44,76,66.018
36,71,81,49,59,72.16199999999999
88,46,80,59,88,87.937
31,80,86,64,55,77.033
79,72,57,50,54,75.97399999999999
64,62,87,54,42,75.256
53,36,42,86,88,74.316
64,89,78,94,70,96.22800000000001
73,33,54,31,66,62.596999999999994
92,74,74,56,64,87.66400000000002
75,100,54,54,86,89.918
90,98,63,99,70,102.27099999999999
83,100,91,36,86,96.50800000000001
77,57,45,99,34,75.909
62,37,50,74,34,62.544
60,69,42,75,87,81.14399999999999
45,90,68,42,53,72.633
41,62,48,32,76,63.158
48,88,84,93,49,88.188
58,55,61,50,66,70.66
96,38,72,40,88,81.35199999999999
45,66,91,58,83,83.62700000000001
74,84,47,94,35,81.289
100,84,73,64,42,88.35
36,96,36,32,97,72.461
97,31,49,54,36,64.936
44,47,62,63,60,67.253
78,92,75,39,63,84.536
53,73,61,96,70,86.0
78,35,38,94,78,78.63999999999999
100,95,44,100,30,89.76599999999999
32,86,40,92,52,73.58399999999999
61,49,97,87,86,92.59699999999998
70,31,88,87,87,88.43199999999999
57,96,38,38,66,71.894
93,90,46,31,43,73.758
88,81,45,30,96,82.85000000000001
86,34,33,37,59,60.605999999999995
66,42,49,76,59,71.099
35,32,56,78,30,56.246
90,84,88,50,41,85.943
32,60,75,65,85,77.304
60,63,32,62,85,73.59100000000001
93,83,95,62,84,101.58399999999999
43,44,31,97,89,74.082
34,32,43,41,91,58.786
54,36,31,50,70,58.715999999999994
43,71,31,32,40,52.86999999999999
86,68,57,56,77,83.785
75,89,30,52,97,83.587
36,49,98,49,34,64.817
98,37,56,33,71,71.822
66,86,85,81,42,87.66899999999998
86,73,97,54,72,93.05399999999999
35,41,45,67,65,61.66
91,98,94,45,76,98.42500000000001
33,80,38,66,83,73.15100000000001
98,51,73,69,45,81.764
62,83,94,40,33,75.997
40,41,76,54,81,71.195
86,70,75,52,91,91.12299999999999
66,65,72,86,94,93.328
51,44,93,83,45,76.964
80,72,81,54,35,78.389
51,42,42,98,31,64.247
31,63,71,64,36,64.57
37,33,93,87,69,77.744
96,67,38,92,98,95.21799999999999
42,86,66,33,58,69.481
55,71,99,54,100,92.41199999999999
32,57,66,97,57,75.292
52,92,33,38,48,64.078
43,84,73,87,34,78.18499999999999
57,85,84,77,92,96.281
72,34,40,33,68,60.15899999999999
79,90,62,70,51,85.71100000000001
94,41,84,96,36,85.39599999999999
